name,hard_hitter,sr,rbw
S Mandhana,0.72,96.0,0.2857142857142857
NR Sciver-Brunt,1.4285714285714286,185.71428571428572,0.6
EA Perry,0.3157894736842105,76.31578947368422,0.4857142857142857
HK Matthews,0.8235294117647058,141.1764705882353,0.7142857142857143
AC Kerr,0.5925925925925926,114.81481481481481,0.6521739130434783
HC Knight,0.3076923076923077,92.3076923076923,0.6666666666666666
KS Ahuja,0.3076923076923077,92.3076923076923,0.6666666666666666
RM Ghosh,1.8461538461538463,223.0769230769231,0.625
YH Bhatia,0.9230769230769231,115.38461538461537,0.3
P Vastrakar,0.4444444444444444,105.55555555555556,0.6875
